3,"it was a mahi-mahi"
4,"it was unceremoniously thrown off the gaffe and onto the deck of the boat, where it was unceremoniously beaten to death with an unremarkable baton and then cleaned with a machete"
5,"the fisherman hosed it down afterwards, and the bloody water poured out of the scuppers and into the sea"
6,"it was, he would later report, delicious"
7,"nobody learned a valuable lesson about overfishing or climate change, because this didn't have anything to do with overfishing or climate change, at least as far as anybody could tell"
8,"nor did anybody have a sudden epiphany about coral bleaching, or choose to devote their lives to reversing ocean acidification"
9,"there were no additional consciousness-raising efforts among schoolchildren to encourage them to grow up and become better stewards of the planet than their teachers had been"
10,"no, none of this happened, because on tuesday, every living fish on the planet simply disappeared"
11,"poof"
12,"gone"
13,"the ecological and cultural devastation would, of course, bring the people of earth to their knees, though if pressed to talk about it pretty much everybody would start with the tsunamis"
14,"*	*	*

james f"
15,"x"
16,"“nuts” adams sat on the pier waiting for the trawler to come in from the river"
17,"he was an eeler, like his father before him and etc"
18,", and according to the bloody chore wheel back at the eelhouse, it was his turn to lead the eel-cleaning crew"
19,"as a result, in a coincidence he would later call 'lucky' once you got a few whiskeys in him, he wasn't on the boat when the thames first hiccuped"
20,"it boiled as the water level seemed to go up and down in patches and waves"
21,"the trawler, barely suited to handle a rainstorm, stayed upright for an admirable amount of time before capsizing"
22,"nuts began to strip out of his shoes and take off his baggy peacoat, ready to swim in and help, but the surf—such an odd word to apply to a riverbank, he considered—kept worsening until it was, to his eyes, a fool's errand to attempt a rescue"
23,"holding his shoes in one hand, he slowly stepped backwards down the pier towards the land, eyes riveted to the scene unfolding"
24,"eventually the boat would run aground on a sandbank, but in the meantime the growing waves increasingly seemed to swallow it"
25,"he saw a solitary figure swimming to shore—kate, going by the red hair"
26,"she looked to be pulling somebody along with her"
27,"that would be two out of a crew of five, james thought, a bit too shocked to be sad just yet"
28,"what in the hell happened"
29,"as the surf got rougher and rougher, nuts froze"
30,"turning around and running up the hill to the eelhouse wouldn't make you a bad person, would it"
31,"there was no telling what might happen next, after all"
32,"but in the end altruism (and, to be honest, no small amount of affection) prevailed, and he tossed his shoes and coat to the ground"
33,"the churning waves sloshed over the pier, making it slimy with silt and detritus under his bare feet as he ran to help"
34,"*	*	*

nuts, kate, and a recently revived blake sat around a fire in the eelhouse, the air thick with the smell of, well, eel"
35,"frozen eel, dried eel, eel guts that by rights should have been taken out back a few hours ago, and the unmistakable, mouth-watering scent of eel pies baking in the oven"
36,"empty fish tanks adorned the walls"
37,"kate had told the story while she downed a few brandy's"
38,"there were eels, then there weren't eels"
39,"one second they had a few hooked, the next the lines had gone slack, and then the thames, for lack of a better word, exploded"
40,"she didn't know what had happened to the rest of the crew, though she did see jones get a knock on the head when the boat went over"
41,"“so,” kate said, sipping from a mason jar, “that's that then"
42,"don't know what happened to the other two lads"
43,"”
“tories, weren't they"
44,"” nuts said"
45,"“mm"
46,"”
“fuck it then, i'm not jumping in there for them"
47,"”
for his part, nuts was on his second jameson"
48,"*	*	*

in the laid-back california town of sunny san rafael, there lived a woman named pearly sweetcake, whose parents had a rotten sense of humor"
49,"she was at work during the as-yet unnamed incident, acting in her capacity as a researcher for the marine intelligence research center, and was an expert in cetacean cognition"
50,"she did not in fact see it occur, per se, as she was at the computer at the time, though the people minding the tanks reported a sort of disapparation effect, a sort of sudden pop"
51,"concurrent with a sort of sudden"
52,"nobody had quite put words to it"
53,"nonexistence"
54,"not-being-there-any-more-ness"
55,"the best anybody could come up with was “like from harry potter, you know"
56,"”
now, memory is a fuzzy thing, and the fact that the greatest natural disaster the human world had yet seen was right on the heels of the actual disappearance didn't help people's recollection"
57,"there was footage, and endless media dissection, but the simple fact seemed to be: there were fish here, then there weren't"
58,"whether it was more of a pop or a pip or, indeed, some sort of whooshing sound—a theory promulgated by fans of the late richard brautigan--was immaterial for most people, including pearly sweetcake"
59,"her cell phone rang"
60,"mom"
61,"“hi, mom"
62,"yes, i'm fine, mom"
63,"no, our fish all disappeared too, mom"
64,"calm down, mom, frankie was just a goldfish after all"
65,"look, i really need to figure out what to do with the dolphins, can we talk later"
66,"dolphins aren't fish, mom"
67,"no, really, you can look it up"
68,"they're mammals, everybody knows"
69,"sorry, mom"
70,"goodbye, mom"
71,"”
moms, am i right"
72,"she clichédly buried her face in her hands, blonde hair flopping down"
73,"san rafael is relatively inland, so they hadn't had any direct disasters, not like san francisco or los angeles, so her mind was pretty much still at work"
74,"what a clusterfuck, she thought"
75,"and that old shark was just one day from retirement"
76,"she allowed herself a chuckle"
77,"if you can't be silly even in your darkest hour, you probably shouldn't be a scientist"
78,"and a dark hour it was: they were out of dolphin food"
79,"now, as even an illiterate sixth-grader knows, dolphins eat--in addition to fish--squid and krill, but the institute hadn't had the foresight to predict"
80,"whatever it was that happened, so they hadn't stocked up on squid or krill"
81,"not even shrimp"
82,"in the world of marine biology, even an idiot keeps frozen shrimp lying around for emergencies"
83,"and even if the seafood stores hadn't collapsed"
84,"well, pearly was just assuming they had"
85,"but it wasn't like dead fish were really load-bearing structural elements"
86,"the damage had been the water displacement, but something sitting in a fridge"
87,"she grabbed a shopping bag and started to head out of her office"
88,"she paused and considered"
89,"you're going to need a bigger bag, pearly"
90,"fifteen minutes later, she was at western boat & tackle with a pickup truck and four crates of ice"
91,"she was not alone"
92,"–---------------

eel pie island was a scummy little rock in the middle of the thames in southwest london"
93,"it was historically known for its eel pie, which is exactly what it sounds like"
94,"i suppose that shouldn't be surprising"
95,"more recently, after a slump in the popularity of eel pies caused by the arrival in england of food that was not designed by the english, the island had come to be populated by the sort of people who populate run-down former commerce centers"
96,"you know, hipsters"
97,"it was not exactly a sought-after address, though if cornelius finch had anything to say about it, some day he'd be able to say he'd lived there before it was cool"
98,"(with a name like that, he would be the envy of any brooklynite, but you have to remember this is england we're talking about"
99,")
he was tuning his zither (he had a zither) on our fateful day, while the weather outside had a delightful time raising the sun to its pinnacle (for london values of 'pinnacle') in the sky (for london values of 'sky'), which is to say that the gray got a little lighter"
100,"and then, of course, the excrement hit the air conditioning"
101,"cornelius finch heard something of a bubbling sound, a bit far away"
102,"he didn't think much of it, not that it was making tuning the zither any easier"
103,"(incidentally, he'd considered naming his band “tuning the zither” but the singer had vetoed it"
104,") so on he tuned"
105,"these things have a lot of strings, you know"
106,"there was some muffled screaming and something that might have been a boat catching fire, which he further disregarded"
107,"the zither must be tuned"
108,"a few hours later, after the zither was thoroughly tuned and he'd recorded a couple of tracks, he got a telephone call"
109,"it was from nuts"
110,"“hello"
111,"” he said"
112,"“hey corny, wanna come over and have the last eel pie with me"
113,"”
“can't you make more"
114,"”
“you don't have a tv, radio, or the internet, do you"
115,"”
“no, of course not"
116,"”
“right"
117,"so"
118,"like, last eel pie"
119,"”
“er"
120,"last"
121,"”
“right"
122,"about that"
123,"”

and so he did"
124,"–--------------------

sushi preparation is an exacting art"
125,"let's start with the rice, from which sushi derives its name"
126,"japan's finest chefs often cut their teeth in the industry by learning how to cook the rice as an apprentice, sometimes for years"
127,"it is this rice which literally underlies many forms of sushi"
128,"the rice is very important"
129,"the rice is step one"
130,"from there, apprentice chefs sometimes move on to learning how to make what goes on top of the rice, often tamago, which is a kind of sweet omelet"
131,"others move straight on to fish, but the finest chefs must toil over a hot stove making tamago before they are allowed to proceed"
132,"at this point, sometimes years into the process, your apprentice chef knows how to make rice and how to make eggs"
133,"the next step is shaping the rice, cutting the eggs, putting the eggs on top of the rice, and displaying it in an aesthetically pleasing manner"
134,"this is the beginning of the knife-work training"
135,"once you understand the intricacies of cutting omelet after omelet into just the right shapes, then you move on to fish"
136,"and fish is complicated"
137,"each variety has its own unique texture"
138,"that texture must be sculpted into culinary art from the slab of meat you are handed"
139,"different parts of the same tuna must be cut differently; an o-toro cut as a chu-toro is wrong, and these meats can exist within inches of one another on the same fish's belly"
140,"at this point, the chef knows the ins and outs of all the species consumed as sushi, as well as how to cut them up accurately, quickly, and beautifully"
141,"then they usually start (or at least work at) a restaurant, where they spend the rest of their natural lives making sushi"
142,"the japanese ethos when it comes to life-long employment is rather interesting"
143,"oh, remember to read all that in the past tense"
144,"–--
jiro watanabe was one such chef"
145,"renowned in kyoto, the wait-list for his restaurant could stretch into the weeks or sometimes even months"
146,"on this particular tuesday, he was at a fish market in hirakata, examining the day's catch"
147,"he picked out a tuna, got five pounds of octopus, some giant clams, filled up the tank he had with him with sea urchins, bought some assorted roe, fresh seaweed, and so on"
148,"he was inspecting live eels, about to say “i'll have that one and that one and--,” when the eels just blinked out of existence, like howl's castle had teleported them somewhere"
149,"the water in the tank sloshed around a little"
150,"the tilapia tanks at the far end of the warehouse fared far worse, spilling out water onto the floor, and one of them cracked and then burst"
151,"he decided that discretion was the better part of valor"
152,"sometimes, to flee was to win"
153,"so he paid for everything, and methodically carried his purchases onto a wheeled cart"
154,"there was a vague rumbling, so he decided to borrow two employees to help with the tuna and load it all into his van"
155,"he gave them each a 500 yen note, got into the right front seat, and drove like hell back to his restaurant"
156,"–--------------
pearly got out of the truck and elbowed her way through the crowd and into western boat & tackle, which was where you went when you needed what most people would think of as 'bait' but pearly knew as 'dolphin food'"
157,"you could also get boats there, of course, as the name suggested"
158,"the water in the nearby canal sloshed back and forth"
159,"the inside was a mess"
160,"not because it had taken any damage"
161,"the inside was always a mess"
162,"we're talking about a shop run by fishermen"
163,"hell, the outside somehow managed to be a mess--the sign, degraded by the salt in the air, the siding as well for that matter, not repainted for many years; grubby windows; potholes in the parking lot—and they weren't even in charge of the parking lot, it was like the overall sense of decline was contagious"
164,"as for the inside, the novelty keychain rack was rusty, the newsrack slightly askew, and shop tools lay about mixed with the ones for sale, set down wherever they were last used, distinguishable only by their degree of wear and possibly the direction they were facing"
165,"garth brooks played in the background"
166,"and the thunder rolls, and the lightning strikes"
167,"pearly had figured a bait shop would not exactly be the #1 destination on an afternoon where there were no fish to be caught, but she was evidently wrong"
168,"nobody seemed to be shopping, and they all looked a bit"
169,"blue collar, to put it nicely, so perhaps they were fishermen with nowhere else to go right now who had sort of wandered over, like it was the local bar and they had all just gotten fired"
170,"(the local bar was actually the 4th street tavern"
171,"they would be there later"
172,"it was two in the afternoon, for crying out loud"
173,")
“yo"
174,"jay"
175,"” she called out over the din"
176,"a fellow who looked like a fisherman but somehow didn't have a tan looked over"
177,"“pearly b, i was wondering if we'd see you,” he shouted"
178,"the crowd parted a bit, perhaps sensing the connection, and pearly approached the counter"
179,"“must be a hell of a day for you,” he said"
180,"“you and me both,” she said"
181,"“i'll bet"
182,"i can't seem to get rid of these guys,” he said, indicating the crowd with his chin"
183,"“not that i want to"
184,"the company is nice"
185,"”
“company's always nice"
186,"hey, look, jay, my dolphins are hungry"
187,"”
“oh, shit"
188,"they eat fish, right"
189,"”
“yeah"
190,"”
“so what do you need from me"
191,"besides a miracle"
192,"”
“squid"
193,"lots of squid"
194,"and shrimp if you've got 'em, and i know this is kind of a long-shot, but krill"
195,"”
his eyebrow lifted"
196,"“when you say 'lots'"
197,"”
“i have a pickup truck with four crates of ice in the bed"
198,"”
“"
199,"you mean 'lots'"
200,"the institute good for it"
201,"”
pearly chuckled"
202,"“the institute is funded from up on high by the prince of darkness"
203,"we're good for it"
204,"” she handed him an american express black card"
205,"“i'm sorry, we don't take amex,” he said automatically"
206,"she handed him a visa black card"
207,"his eyes widened a touch"
208,"“now that we take"
